Number,Type,Location,City,State,Zip,Phone,latitude,longitude,
1,b,3601 N.W. 27th Avenue,Miami,FL,33142,(305) 638-3838,25.8092,-80.24,0
2,b,8995 N. W. 7th Avenue,Miami,FL,33150,(305) 754-8453,25.8587,-80.2094,0
3,b,30390 South Dixie Highway,Homestead,FL,33030,(305) 247-7181,25.4849,-80.461,0
4,b,7975 N. W. 27th Avenue,Miami,FL,33147,(305) 836-8152,25.8471,-80.2415,0
5,b,9201 South Dixie Highway,Miami,FL,33156,(305) 666-1130,25.6849,-80.3125,0
6,b,3051 Coral Way,Miami,FL,33145,(305) 445-2111,25.7502,-80.2429,0
7,b,18240 South Dixie Highway,Perrine,FL,33157,(305) 235-4801,25.6003,-80.3537,0
8,b,775 East 9th Street,Hialeah,FL,33010,(305) 885-0075,25.8306,-80.2661,0
9,b,1910 N. E. 163rd Street,Miami,FL,33162,(305) 947-4121,25.926,-80.1617,0
10,b,18750 N. W. 2nd Avenue,North Miami Beach,FL,33169,(305) 652-5831,25.9466,-80.2056,0
11,b,9675 Bird Road,Miami,FL,33165,(305) 221-1961,25.7328,-80.3514,0
12,b,1445 West Sunrise Boulevard,Fort Lauderdale,FL,33311,(954) 763-9685,26.1368,-80.1615,0
13,b,12790 N. W. 7th Avenue,Miami,FL,33168,(305) 681-1155,25.8917,-80.2111,0
14,b,2631 So. State Road 7,Hollywood,FL,33023,(954) 963-3520,25.9864,-80.2065,0
15,b,891 West 49th Street,Hialeah,FL,33012,(305) 821-3609,25.8668,-80.3009,0
16,b,17951 N. W. 27th Avenue,Carol City,FL,33056,(305) 624-8822,25.9377,-80.2449,0
17,b,4727 N. W. 167th Street,Carol City,FL,33055,(305) 624-7041,25.9256,-80.2772,0
18,b,7070 Bird Road,Miami,FL,33155,(305) 661-1252,25.7331,-80.3086,0
19,b,5401 N. W. 7th Avenue,Miami,FL,33127,(305) 758-0180,25.8251,-80.208,0
20,b,1700 Biscayne Boulevard,Miami,FL,33132,(305) 379-0468,25.7915,-80.1891,0
21,b,2120 North Roosevelt Boulevard,Key West,FL,33040,(305) 294-4932,24.5603,-81.7811,0
22,b,4498 Mobile Highway,Pensacola,FL,32506,(850) 456-3965,30.4342,-87.2758,0
23,b,730 N. W. 36th Street,Miami,FL,33127,(305) 634-3322,25.8099,-80.2083,0
24,b,2319 North Federal Highway,Hollywood,FL,33020,(954) 923-5631,26.0323,-80.1431,0
25,b,910 Arthur Godfrey Road,Miami Beach,FL,33140,(305) 674-8033,25.8134,-80.1344,0
26,b,1725 East Sunrise Boulevard,Fort Lauderdale,FL,33304,(954) 763-6652,26.1376,-80.1247,0
27,b,825 East 49th Street,Hialeah,FL,33013,(305) 685-2851,25.8675,-80.2662,0
28,b,1309 N. W. 20th Street,Miami,FL,33142,(305) 325-0968,25.795,-80.2175,0
29,b,1 N. W. Oakland Park Boulevard,Fort Lauderdale,FL,33311,(954) 564-7762,26.1667,-80.1467,0
30,b,666 West Broward Boulevard,Fort Lauderdale,FL,33312,(954) 463-4338,26.122,-80.1501,0
31,b,13201 South Dixie Highway,Miami,FL,33156,(305) 235-0531,25.6474,-80.3322,0
32,b,2301 E. Silver Springs Blvd.,Ocala,FL,34470,(352) 732-7722,29.187,-82.1061,0
33,b,231 North Dixie Highway,Lake Worth,FL,33460,(561) 582-0682,26.6183,-80.0574,0
34,b,2315 Hollywood Boulevard,Hollywood,FL,33020,(954) 927-7894,26.0114,-80.153,0
35,b,380 E. Merritt Island Cswy.,Merritt Island,FL,32952,(321) 452-8846,28.3573,-80.6927,0
36,b,4004 Cleveland Avenue,Fort Myers,FL,33901,(239) 936-8233,26.6041,-81.872,0
37,b,4141 West Flagler Street,Miami,FL,33134,(305) 649-1138,25.7718,-80.2632,0
38,b,1001 North 60th Avenue,Hollywood,FL,33021,(954) 987-6488,26.0187,-80.2078,0
39,b,1210 North Dixie Highway,West Palm Beach,FL,33401,(561) 832-8610,26.7237,-80.0531,0
40,b,40 North Federal Highway,Pompano Beach,FL,33062,(954) 941-0290,26.2322,-80.1026,0
41,b,8 N. W. 16th Avenue,Gainesville,FL,32601,(352) 376-2295,29.6667,-82.3247,0
42,b,4175 Okeechobee Boulevard,West Palm Beach,FL,33409,(561) 686-7496,26.707,-80.1056,0
43,b,12215 Biscayne Boulevard,North Miami,FL,33161,(305) 893-5761,25.8887,-80.1638,0
44,b,3700 Curtiss Parkway,Virginia Gardens,FL,33166,(305) 871-1515,25.8083,-80.2894,0
45,b,5721 N. W. 7th Street,Miami,FL,33126,(305) 261-2673,25.7781,-80.2888,0
46,b,11150 Overseas Highway,Marathon,FL,33050,(305) 289-1510,24.7294,-81.0355,0
47,b,13705 N. W. 27th Avenue,Opa Locka,FL,33054,(305) 687-3285,25.899,-80.2434,0
48,b,410 West 84th Street,Hialeah,FL,33014,(305) 826-5564,25.8985,-80.2923,0
49,b,7871 Pembroke Pines Boulevard,Pembroke Pines,FL,33024,(954) 987-7933,26.0249,-80.2427,0
50,b,3200 N. University Drive,Sunrise,FL,33313,(954) 741-6160,26.1656,-80.2564,0
51,b,395 Alcazar,Coral Gables,FL,33134,(305) 448-4311,25.7528,-80.2626,0
52,b,550 North State Road 7,Margate,FL,33063,(954) 972-9440,26.2361,-80.2047,0
53,b,3951 S. W. 64th Avenue,Davie,FL,33314,(954) 583-6677,26.0723,-80.2325,0
54,b,2275 S. W. 87th Avenue,Miami,FL,33165,(305) 264-5567,25.7491,-80.3355,0
55,b,1030 W. Hallandale Beach Blvd.,Hallandale,FL,33009,(954) 454-3336,25.9852,-80.1628,0
56,b,1190 East Commercial Boulevard,Fort Lauderdale,FL,33334,(954) 771-2178,26.1888,-80.1317,0
57,b,21000 Allapattah Drive,Miami,FL,33189,(305) 253-0496,25.571,-80.3725,0
58,b,26801 South Dixie Highway,Naranja,FL,33032,(305) 258-1300,25.5178,-80.4279,0
59,b,6800 S. W. 8th Street,Miami,FL,33144,(305) 261-0488,25.7629,-80.3061,0
60,b,10494 West Sample Road,Coral Springs,FL,33065,(954) 752-3460,26.2724,-80.266,0
61,b,3796 Congress Ave. South,Lake Worth,FL,33461,(561) 964-5109,26.6218,-80.0887,0
62,b,6760 22nd Ave. North,St. Petersburg,FL,33710,(727) 384-1011,27.7915,-82.7311,0
63,b,114 West Brandon Boulevard,Brandon,FL,33511,(813) 681-1718,27.9379,-82.2861,0
64,b,980 Missouri Avenue,Largo,FL,33770,(727) 581-7706,27.9256,-82.7874,0
65,b,7705 9th Street North,St. Petersburg,FL,33702,(727) 577-5216,27.8434,-82.6467,0
66,b,5405 Sheldon Road,Tampa,FL,33615,(813) 884-5880,27.997,-82.5819,0
67,b,175 North Federal Highway,Boca Raton,FL,33432,(561) 368-1560,26.352,-80.0867,0
68,b,11595 S. W. 40th Street,Miami,FL,33165,(305) 223-8089,25.7323,-80.3816,0
69,b,14095 N. Kendall Drive,Miami,FL,33186,(305) 385-6179,25.6853,-80.4226,0
70,b,4401 West Gandy Blvd.,Tampa,FL,33611,(813) 839-0914,27.8937,-82.5186,0
71,b,9211 North Florida Avenue,Tampa,FL,33612,(813) 933-1845,28.0332,-82.4593,0
72,b,10710 S.W. 72nd Street,Miami,FL,33173,(305) 595-2807,25.7009,-80.3665,0
73,b,7371 Seminole Blvd.,Seminole,FL,33772,(727) 392-0416,27.8392,-82.7868,0
74,b,901 E. Fowler Avenue,Tampa,FL,33612,(813) 977-7466,28.0545,-82.4509,0
75,b,1800 South Military Trail,West Palm Beach,FL,33415,(561) 964-5879,26.6508,-80.1122,0
76,b,101 Bullard Parkway,Temple Terrace,FL,33617,(813) 985-8732,28.0325,-82.3933,0
77,b,8406 North Dale Mabry Hwy.,Tampa,FL,33614,(813) 932-7371,28.0257,-82.5052,0
78,b,415 South 6th Avenue,Wauchula,FL,33873,(863) 773-3560,27.5435,-81.8107,0
79,b,2802 Concord Pike,Wilmington,DE,19803,(302) 478-2892,39.798,-75.5479,0
80,b,18459 South Halsted Street,Glenwood,IL,60425,(708) 754-0603,41.5543,-87.6358,0
81,b,2100 Peters Creek Parkway,Winston Salem,NC,27107,(336) 723-6065,36.0693,-80.2583,0
